DATE,10Y Treasury,10Y TIPS
2019-06-21,2.07,0.34
2019-06-24,2.02,0.31
2019-06-25,2.0,0.33
2019-06-26,2.05,0.35
2019-06-27,2.01,0.33
2019-06-28,2.0,0.31
2019-07-01,2.03,0.34
2019-07-02,1.98,0.33
2019-07-03,1.96,0.31
2019-07-05,2.04,0.35
2019-07-08,2.05,0.35
2019-07-09,2.07,0.36
2019-07-10,2.07,0.33
2019-07-11,2.13,0.36
2019-07-12,2.12,0.35
2019-07-15,2.09,0.32
2019-07-16,2.13,0.33
2019-07-17,2.06,0.31
2019-07-18,2.04,0.25
2019-07-19,2.05,0.25
2019-07-22,2.05,0.26
2019-07-23,2.08,0.27
2019-07-24,2.05,0.26
2019-07-25,2.08,0.28
2019-07-26,2.08,0.3
2019-07-29,2.06,0.29
2019-07-30,2.06,0.28
2019-07-31,2.02,0.26
2019-08-01,1.9,0.2
2019-08-02,1.86,0.2
2019-08-05,1.75,0.15
2019-08-06,1.73,0.11
2019-08-07,1.71,0.09
2019-08-08,1.72,0.07
2019-08-09,1.74,0.08
2019-08-12,1.65,0.04
2019-08-13,1.68,0.05
2019-08-14,1.59,0.02
2019-08-15,1.52,-0.02
2019-08-16,1.55,0.01
2019-08-19,1.6,0.04
2019-08-20,1.55,0.02
2019-08-21,1.59,0.05
2019-08-22,1.62,0.07
2019-08-23,1.52,-0.02
2019-08-26,1.54,0.0
2019-08-27,1.49,-0.06
2019-08-28,1.47,-0.08
2019-08-29,1.5,-0.09
2019-08-30,1.5,-0.05
2019-09-03,1.47,-0.03
2019-09-04,1.47,-0.04
2019-09-05,1.57,0.01
2019-09-06,1.55,0.01
2019-09-09,1.63,0.06
2019-09-10,1.72,0.12
2019-09-11,1.75,0.15
2019-09-12,1.79,0.16
2019-09-13,1.9,0.23
2019-09-16,1.84,0.17
2019-09-17,1.81,0.15
2019-09-18,1.8,0.21
2019-09-19,1.79,0.18
2019-09-20,1.74,0.13
2019-09-23,1.72,0.11
2019-09-24,1.64,0.06
2019-09-25,1.73,0.13
2019-09-26,1.7,0.13
2019-09-27,1.69,0.16
